majAgency,desc,pTotal,attribute
Department of Energy,SANDIA CORP,2196525198.86,vendor
Department of Energy,UT BATTELLE LIMITED LIABILITY COMPANY,1364623534.29,vendor
Department of Health and Human Services,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",765095522.51,vendor
Department of Health and Human Services,"HP ENTERPRISE SERVICES, LLC",318320116.35,vendor
Department of Health and Human Services,"NATIONAL GOVERNMENT SERVICES, INC.",316840826.06,vendor
Department of Health and Human Services,RESEARCH TRIANGLE INSTITUTE,263171499.54,vendor
Department of Health and Human Services,"SAIC-FREDERICK, INC.",437903950.31,vendor
Department of Homeland Security,"BOLLINGER SHIPYARDS LOCKPORT, L.L.C.",364861051.24,vendor
Department of Homeland Security,CSC GOVERNMENT SOLUTIONS LLC,470880556.64,vendor
Department of Homeland Security,"PARAGON SYSTEMS, INC",324744119.34,vendor
Department of Homeland Security,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,195993424.69,vendor
Department of Homeland Security,UNISYS CORPORATION,269065606.25,vendor
Department of Housing and Urban Development,BLM COMPANIES LLC,111708799,vendor
Department of Housing and Urban Development,"CARRINGTON MORTGAGE SERVICES, LLC",119e6,vendor
Department of Housing and Urban Development,"P.K. MANAGEMENT GROUP, INC.",106368161,vendor
Department of Housing and Urban Development,SAGE ACQUISITIONS LLC,67828325.07,vendor
Department of Housing and Urban Development,"SELENE FINANCE, LP",633e5,vendor
Department of Justice,"AMERESCO, INC.",80622300,vendor
Department of Justice,"CORNELL COMPANIES, INC.",127234591.49,vendor
Department of Justice,"FORFEITURE SUPPORT ASSOCIATES, LLC",110803829.52,vendor
Department of Justice,"GEO GROUP, INC., THE",119796271.72,vendor
Department of Justice,"NORESCO, LLC",119026388,vendor
Department of Labor,"ADAMS AND ASSOCIATES, INC.",143645359,vendor
Department of Labor,CAREER SYSTEMS DEVELOPMENT CORPORATION,80490375,vendor
Department of Labor,MANAGEMENT & TRAINING CORPORATION,232024864,vendor
Department of Labor,MINACT INC,55243360,vendor
Department of Labor,"RES-CARE, INC.",95166323,vendor
Department of State,ACCENTURE NATIONAL SECURITY SERVICES LIMITED LIABILITY COMPANY,79492373.75,vendor
Department of State,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",176341406.18,vendor
Department of State,M. A. MORTENSON COMPANY,144503261,vendor
Department of State,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,199740677.28,vendor
Department of State,"STANLEY ASSOCIATES, INC.",207541109.18,vendor
Department of the Interior,"CACI ENTERPRISE SOLUTIONS, INC",26039322.52,vendor
Department of the Interior,"CH2M HILL CONSTRUCTORS, INC.",37e6,vendor
Department of the Interior,"ERA HELICOPTERS, LLC",36611449.72,vendor
Department of the Interior,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",22318741.61,vendor
Department of the Interior,"MOLTZ CONSTRUCTORS, INC.",29308204,vendor
Department of the Treasury,"COINS 'N THINGS, INC.",859011728.36,vendor
Department of the Treasury,DELOITTE CONSULTING LLP,197501322.67,vendor
Department of the Treasury,PRECIOUS A-MARK METALS INC,562750899.25,vendor
Department of the Treasury,STERN/LEACH COMPANY,283366001.57,vendor
Department of the Treasury,"SUNSHINE MINTING, INC.",704823497.22,vendor
Department of Transportation,HARRIS CORPORATION,432471394.41,vendor
Department of Transportation,ITT CORPORATION,158216559,vendor
Department of Transportation,LOCKHEED MARTIN CORPORATION,426352864.61,vendor
Department of Transportation,"LOCKHEED MARTIN SERVICES, INC.",171857472.5,vendor
Department of Transportation,RAYTHEON COMPANY,181994182,vendor
Department of Veterans Affairs,"CARDINAL HEALTH 200, LLC",311900563.88,vendor
Department of Veterans Affairs,"HEALTH NET FEDERAL SERVICES, LLC",521002816.17,vendor
Department of Veterans Affairs,KIEWIT-TURNER A JOINT VENTURE,601086866,vendor
Department of Veterans Affairs,MCKESSON CORPORATION,5541284483.55,vendor
Department of Veterans Affairs,TRIWEST HEALTHCARE ALLIANCE CORP.,1229503651.45,vendor
Environmental Protection Agency,"AMEC FOSTER WHEELER ENVIRONMENT & INFRASTRUCTURE, INC.",50150226.9,vendor
Environmental Protection Agency,CGI FEDERAL INC.,31047713.93,vendor
Environmental Protection Agency,CGI FEDERAL INCORPORATED,32354852.54,vendor
Environmental Protection Agency,"ENVIRONMENTAL RESTORATION, L.L.C.",31938078.29,vendor
Environmental Protection Agency,"JACOBS FIELD SERVICES NORTH AMERICA, INC.",31575126.6,vendor
Equal Employment Opportunity Commission,"ADMINISTRATION AND FINANCE, MASSACHUSETTS EXECUTIVE OFFICE FOR",1427200,vendor
Equal Employment Opportunity Commission,CALIFORNIA DEPARTMENT OF FAIR EMPLOYMENT AND HOUSING,2348100,vendor
Equal Employment Opportunity Commission,"HUMAN RIGHTS, ILLINOIS DEPARTMENT OF",1585600,vendor
Equal Employment Opportunity Commission,"HUMAN RIGHTS, NEW YORK STATE DIVISION OF",2637300,vendor
Equal Employment Opportunity Commission,OHIO CIVIL RIGHTS COMMISSION,1523800,vendor
Executive Office of the President,ACQUIA INC.,5494270.550000001,vendor
Executive Office of the President,"ALLIANT SOLUTIONS, LLC",8e6,vendor
Executive Office of the President,"L-3 NATIONAL SECURITY SOLUTIONS, INC.",7981714.67,vendor
Executive Office of the President,"SEVEN CORNERS, INC",9691552.01,vendor
Executive Office of the President,UT BATTELLE LIMITED LIABILITY COMPANY,26672337.31,vendor
Federal Communications Commission,AAC INC.,13602606.629999999,vendor
Federal Communications Commission,AMBIT GROUP,5894774.93,vendor
Federal Communications Commission,COMPUTECH INC,15752627.14,vendor
Federal Communications Commission,"DATA NETWORKS, INC.",3943957.1999999997,vendor
Federal Communications Commission,INTERNATIONAL BUSINESS MACHINES CORPORATION,4484244,vendor
Federal Election Commission,"SALIENT FEDERAL SOLUTIONS, INC.",2624111.84,vendor
Federal Election Commission,SAVVIS FEDERAL SYSTEMS INCORPORATED,1740654.48,vendor
Federal Mediation and Conciliation Service,"CONTRACT FURNITURE OPTIONS, INC.",1000675.2,vendor
Federal Trade Commission,"CRA INTERNATIONAL, INC.",2e6,vendor
Federal Trade Commission,"LOCKHEED MARTIN MANAGEMENT SYSTEMS DESIGNERS, INC",12662500,vendor
Federal Trade Commission,"SEVENTH SENSE CONSULTING, LLC",3364665.5999999996,vendor
Federal Trade Commission,"URS FEDERAL SERVICES, INC.",14064800,vendor
General Services Administration,ATKINSON/CLARK A JOINT VENTURE,149799580,vendor
General Services Administration,"LOCKHEED MARTIN INTEGRATED SYSTEMS, INC.",127102876.42,vendor
General Services Administration,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,49488420.46,vendor
General Services Administration,THE CHRISTMAN COMPANY,100984937,vendor
General Services Administration,"WALSH PUERTO RICO, LLC",78317e3,vendor
Government Accountability Office,COASTAL INTERNATIONAL SECURITY,4292627.25,vendor
Government Accountability Office,"CONSTELLATION NEWENERGY, INC.",2025e3,vendor
Government Accountability Office,"EMCOR GOVERNMENT SERVICES, INC.",7526786,vendor
Government Accountability Office,"SRA INTERNATIONAL, INC.",23583606,vendor
Government Accountability Office,VERIZON FEDERAL INC.,3055213.97,vendor
Millennium Challenge Corporation,"ACTIONET, INC.",2783920.14,vendor
Millennium Challenge Corporation,DALBERG CONSULTING US LLC,1381936,vendor
Millennium Challenge Corporation,FRANKLIN COURT INC,3831863.23,vendor
Millennium Challenge Corporation,"SAWDEY SOLUTION SERVICES, INC.",2035467.7,vendor
Millennium Challenge Corporation,"TCG, INC.",5679119.8,vendor
National Aeronautics and Space Administration,BOEING COMPANY,487143725.06,vendor
National Aeronautics and Space Administration,CALIFORNIA INSTITUTE OF TECHNOLOGY,1832050381.16,vendor
National Aeronautics and Space Administration,JACOBS TECHNOLOGY INC.,365769523,vendor
National Aeronautics and Space Administration,LOCKHEED MARTIN CORPORATION,1204506292.64,vendor
National Aeronautics and Space Administration,THE BOEING COMPANY,909918488,vendor
National Archives and Records Administration,"AMERICAN SECURITY PROGRAMS, IN",9981317.88,vendor
National Archives and Records Administration,"ATTAIN, LLC",11888390.6,vendor
National Archives and Records Administration,INTERNATIONAL BUSINESS MACHINE,10795473.370000001,vendor
National Archives and Records Administration,L B AND B ASSOCIATES INCORPORATED (8228),13105432,vendor
National Archives and Records Administration,"OPTIMOS, LLC",7414506.029999999,vendor
National Labor Relations Board,"CATAPULT HEALTH TECHNOLOGY GROUP, LLC",1191101.86,vendor
National Labor Relations Board,"OPTIMOS, LLC",3112950.01,vendor
National Labor Relations Board,QWEST SERVICES CORPORATION,159e4,vendor
National Labor Relations Board,WEST PUBLISHING CORPORATION,1079455.68,vendor
National Science Foundation,BOOZ ALLEN HAMILTON INC.,33659254.51,vendor
National Science Foundation,"CH2M HILL CONSTRUCTORS, INC.",28904842,vendor
National Science Foundation,NATIONAL OPINION RESEARCH CENTER,11e6,vendor
National Science Foundation,"PHACIL, INC.",11269943,vendor
National Science Foundation,"TALU, LLC",11375625,vendor
National Transportation Safety Board,INFORELIANCE CORPORATION,1440625,vendor
National Transportation Safety Board,"TASC, INC.",1194693.72,vendor
Nuclear Regulatory Commission,"BROOKHAVEN SCIENCE ASSOCIATES, LLC",17504827.240000002,vendor
Nuclear Regulatory Commission,CGI FEDERAL INC.,11055932.84,vendor
Nuclear Regulatory Commission,"DELL SERVICES FEDERAL GOVERNMENT, INC.",42688016.809999995,vendor
Nuclear Regulatory Commission,"LOCKHEED MARTIN SERVICES, INC.",9451145.780000001,vendor
Nuclear Regulatory Commission,"MAR, INCORPORATED",4553750,vendor
Office of Personnel Management,DELOITTE CONSULTING LLP,20147720.19,vendor
Office of Personnel Management,IDENTITY THEFT GUARD SOLUTIONS LIMITED LIABILITY COMPANY,7e7,vendor
Office of Personnel Management,INTERNATIONAL BUSINESS MACHINES CORPORATION,20214012.8,vendor
Office of Personnel Management,NORTHROP GRUMMAN INFORMATION TECHNOLOGY GLOBAL CORPORATION,16531724.27,vendor
Office of Personnel Management,"PERSONNEL DECISIONS RESEARCH INSTITUTES, INC",20954790.94,vendor
Overseas Private Investment Corporation,NEAR NORTHEAST LLC,3364144,vendor
Overseas Private Investment Corporation,"RSR INTERNATIONAL, LLC",3777600,vendor
Railroad Retirement Board,BOOZ ALLEN HAMILTON INC,1257656,vendor
Railroad Retirement Board,CGI FEDERAL INC.,1282171.15,vendor
Railroad Retirement Board,"PALMETTO GBA, LLC",18999149.759999998,vendor
Railroad Retirement Board,QWEST CORPORATION (8481),12e5,vendor
Securities and Exchange Commission,"ALVAREZ & ASSOCIATES, LLC",17878456.95,vendor
Securities and Exchange Commission,"AMYX, INC.",17458916,vendor
Securities and Exchange Commission,"CACI-ISS, INC.",19275865,vendor
Securities and Exchange Commission,"SRA INTERNATIONAL, INC.",32278850.39,vendor
Securities and Exchange Commission,"URS FEDERAL SERVICES, INC.",18807019,vendor
Small Business Administration,"1901 GROUP, LLC",8225627.86,vendor
Small Business Administration,"DUN & BRADSTREET, INC.",19976453.35,vendor
Small Business Administration,"GARCIA & ORTIZ, P.A.",4034e3,vendor
Small Business Administration,TELESIS CORPORATION,4326787,vendor
Small Business Administration,TRUSTED MISSION SOLUTIONS INC.,8816271.75,vendor
Smithsonian Institution,ALLIEDBARTON SECURITY SERVICES LLC,139e5,vendor
Smithsonian Institution,CONSIGLI CONSTRUCTION CO INC.,12197352,vendor
Smithsonian Institution,"GRUNLEY CONSTRUCTION CO., INC.",12262450,vendor
Smithsonian Institution,INTEGRATED CONSTRUCTION ENTERPRISES INC,10445465.05,vendor
Smithsonian Institution,POTOMAC ELECTRIC POWER COMPANY,12934e3,vendor
Social Security Administration,COMPUTER ASSOCIATES INTERNATIO,47102386.33,vendor
Social Security Administration,FOUR,80489997.36,vendor
Social Security Administration,LOCKHEED MARTIN CORPORATION,100169036.69,vendor
Social Security Administration,NORTHROP GRUMMAN SYSTEMS CORPORATION,114638355.02000001,vendor
Social Security Administration,"WESTAT, INC.",63918323,vendor
The Judicial Branch,"AKAL SECURITY, INC",27360128.75,vendor
The Judicial Branch,"AKAL SECURITY, INC.",35802981.11,vendor
The Judicial Branch,"INTER-CON SECURITY SYSTEMS, INC.",95528407.04,vendor
The Judicial Branch,"METROPOLITAN SECURITY SERVICES, INC.",90625234.98,vendor
The Judicial Branch,TYCO INTEGRATED SECURITY LLC,10560400.08,vendor
U.S. Agency for International Development,ABT ASSOCIATES INC,102988369,vendor
U.S. Agency for International Development,"CHEMONICS INTERNATIONAL, INC",606035817.2,vendor
U.S. Agency for International Development,JOHN SNOW INCORPORATED,96890687,vendor
U.S. Agency for International Development,"PARTNERSHIP FOR SUPPLY CHAIN MANAGEMENT, INC",135998382,vendor
U.S. Agency for International Development,"TETRA TECH ES, INC.",85096659.19,vendor
U.S. International Trade Commission,"NCI INFORMATION SYSTEMS, INC.",2680936,vendor
U.S. International Trade Commission,SWISH DATA CORPORATION,1868895,vendor
U.S. International Trade Commission,"VALIDATEK, INC.",2245011.18,vendor
United States Soldiers' and Airmen's Home,"ABILITYWORKS, INC",1421938.5,vendor
United States Soldiers' and Airmen's Home,"CMI MANAGEMENT, INC.",4787500.01,vendor
United States Soldiers' and Airmen's Home,"LAKEVIEW CENTER, INC.",6867442.18,vendor
,"CAPE CANAVERAL, FL",119204021.24,vLocation
,"FAIRFAX, VA",113268783.38,vLocation
,"MURRIETA, CA",113063222.28999999,vLocation
,"NEW YORK, NY",50882723.29,vLocation
,"SAN ANTONIO, TX",56222542.58,vLocation
Broadcasting Board of Governors,"CAMBRIDGE, MA",3436620,vLocation
Broadcasting Board of Governors,"SPRINGFIELD, VA",6681890.74,vLocation
Broadcasting Board of Governors,"SUNRISE, FL",4306333.08,vLocation
Broadcasting Board of Governors,"VIENNA, VA",7697040.46,vLocation
Broadcasting Board of Governors,"WASHINGTON, DC",7659936.36,vLocation
Commodity Futures Trading Commission,"ALEXANDRIA, VA",13232365.73,vLocation
Commodity Futures Trading Commission,"CHANTILLY, VA",1823415,vLocation
Commodity Futures Trading Commission,"MC LEAN, VA",2305e3,vLocation
Commodity Futures Trading Commission,"RESTON, VA",4858035.31,vLocation
Commodity Futures Trading Commission,"ROCKVILLE, MD",2038959.3199999998,vLocation
Consumer Financial Protection Bureau,"ALEXANDRIA, VA",11117291.52,vLocation
Consumer Financial Protection Bureau,"ARLINGTON, VA",20732052.13,vLocation
Consumer Financial Protection Bureau,"FAIRFAX, VA",16379454.95,vLocation
Consumer Financial Protection Bureau,"ROCKVILLE, MD",13285009.9,vLocation
Consumer Financial Protection Bureau,"WASHINGTON, DC",26306719.4,vLocation
Consumer Product Safety Commission,"ATLANTA, GA",1414391.8,vLocation
Consumer Product Safety Commission,"BETHESDA, MD",1535702.4,vLocation
Consumer Product Safety Commission,"MCLEAN, VA",2086455.97,vLocation
Corporation for National and Community Service,"CINCINNATI, OH",3546592,vLocation
Corporation for National and Community Service,"COLUMBIA, MD",5851251.65,vLocation
Corporation for National and Community Service,"FAIRFAX, VA",5601945.7,vLocation
Corporation for National and Community Service,"INDIANAPOLIS, IN",1817643,vLocation
Corporation for National and Community Service,"SILVER SPRING, MD",3738482.42,vLocation
Court Services and Offender Supervision Agency for the District of Columbia,"ARLINGTON, VA",2139386.4,vLocation
Court Services and Offender Supervision Agency for the District of Columbia,"WASHINGTON, DC",2629579.5,vLocation
Defense Nuclear Facilities Safety Board,"ACCOKEEK, MD",1257409.6,vLocation
Defense Nuclear Facilities Safety Board,"ALEXANDRIA, VA",1150538.4,vLocation
Department of Agriculture,"MCLEAN, VA",126166109.12,vLocation
Department of Agriculture,"RESTON, VA",98788005.15,vLocation
Department of Agriculture,"SPRINGDALE, AR",97940898.62,vLocation
Department of Agriculture,"WAYZATA, MN",98229450.5,vLocation
Department of Agriculture,"WILLMAR, MN",106094256.8,vLocation
Department of Commerce,"EL SEGUNDO, CA",159363690,vLocation
Department of Commerce,"HORSHAM, PA",162496066.77,vLocation
Department of Commerce,"LITTLETON, CO",3305e5,vLocation
Department of Commerce,"PALM BAY, FL",150825930.43,vLocation
Department of Commerce,"RESTON, VA",179255786.79,vLocation
Department of Defense,"FORT WORTH, TX",12500384787.47,vLocation
Department of Defense,"GROTON, CT",5152240823,vLocation
Department of Defense,"MARIETTA, GA",5976594420.23,vLocation
Department of Defense,"SAINT LOUIS, MO",9282836183.27,vLocation
Department of Defense,"SEATTLE, WA",7404824755.39,vLocation
Department of Education,"ARLINGTON, VA",159106899.15,vLocation
Department of Education,"FAIRFAX, VA",99246479.15,vLocation
Department of Education,"HARRISBURG, PA",201210613.38,vLocation
Department of Education,"LINCOLN, NE",146482809.1,vLocation
Department of Education,"MADISON, WI",228504e3,vLocation
Department of Energy,"AIKEN, SC",2354615260.13,vLocation
Department of Energy,"ALBUQUERQUE, NM",2219547006.84,vLocation
Department of Energy,"FREDERICK, MD",2407361871.82,vLocation
Department of Energy,"LOS ALAMOS, NM",2581657189.2,vLocation
Department of Energy,"RICHLAND, WA",1980751866.08,vLocation
Department of Health and Human Services,"FAIRFAX, VA",1082958796.22,vLocation
Department of Health and Human Services,"FREDERICK, MD",700063341.0600001,vLocation
Department of Health and Human Services,"GAITHERSBURG, MD",545642630.99,vLocation
Department of Health and Human Services,"MCLEAN, VA",545168416.78,vLocation
Department of Health and Human Services,"ROCKVILLE, MD",873784264.8,vLocation
Department of Homeland Security,"ARLINGTON, VA",507422324.65,vLocation
Department of Homeland Security,"FALLS CHURCH, VA",703313148.69,vLocation
Department of Homeland Security,"HERNDON, VA",726223153.49,vLocation
Department of Homeland Security,"MC LEAN, VA",461255469.54,vLocation
Department of Homeland Security,"RESTON, VA",749181375.42,vLocation
Department of Housing and Urban Development,"ATLANTA, GA",67828325.07,vLocation
Department of Housing and Urban Development,"DORAL, FL",67991062,vLocation
Department of Housing and Urban Development,"HOUSTON, TX",633e5,vLocation
Department of Housing and Urban Development,"HURRICANE, UT",61034474,vLocation
Department of Housing and Urban Development,"SANTA ANA, CA",119e6,vLocation
Department of Justice,"ARLINGTON, VA",231143450.7,vLocation
Department of Justice,"BOCA RATON, FL",168558952.9,vLocation
Department of Justice,"FAIRFAX, VA",195132198.47,vLocation
Department of Justice,"HERNDON, VA",187472872.58,vLocation
Department of Justice,"RESTON, VA",209701970.8,vLocation
Department of Labor,"ANCHORAGE, AK",98997846,vLocation
Department of Labor,"CENTERVILLE, UT",232024864,vLocation
Department of Labor,"LOUISVILLE, KY",95166323,vLocation
Department of Labor,"MCLEAN, VA",113649414.69,vLocation
Department of Labor,"RENO, NV",143645359,vLocation
Department of State,"ARLINGTON, VA",241458582.01,vLocation
Department of State,"FAIRFAX, VA",563161794.34,vLocation
Department of State,"MCLEAN, VA",219310571.4,vLocation
Department of State,"RESTON, VA",220247621.83,vLocation
Department of State,"WASHINGTON, DC",178579440.18,vLocation
Department of the Interior,"CASTLE ROCK, CO",43005875.44,vLocation
Department of the Interior,"ENGLEWOOD, CO",40148720.4,vLocation
Department of the Interior,"FAIRFAX, VA",48981643.75,vLocation
Department of the Interior,"RESTON, VA",61978813.96,vLocation
Department of the Interior,"SACRAMENTO, CA",36873152.06,vLocation
Department of the Treasury,"ATTLEBORO, MA",283366001.57,vLocation
Department of the Treasury,"BRIDGEWATER, MA",859011728.36,vLocation
Department of the Treasury,"COEUR D ALENE, ID",704823497.22,vLocation
Department of the Treasury,"RESTON, VA",231478623.91,vLocation
Department of the Treasury,"SANTA MONICA, CA",562750899.25,vLocation
Department of Transportation,"GAITHERSBURG, MD",301534289.31,vLocation
Department of Transportation,"HERNDON, VA",181470262.03,vLocation
Department of Transportation,"POTTSTOWN, PA",369683415.27,vLocation
Department of Transportation,"ROCKVILLE, MD",478998373.78000003,vLocation
Department of Transportation,"WASHINGTON, DC",176278476.02,vLocation
Department of Veterans Affairs,"AURORA, CO",582690100.21,vLocation
Department of Veterans Affairs,"PHOENIX, AZ",1231503651.45,vLocation
Department of Veterans Affairs,"RANCHO CORDOVA, CA",521002816.17,vLocation
Department of Veterans Affairs,"SAN FRANCISCO, CA",5553908948.17,vLocation
Department of Veterans Affairs,"WAUKEGAN, IL",311900563.88,vLocation
Environmental Protection Agency,"BLUE BELL, PA",50150226.9,vLocation
Environmental Protection Agency,"FAIRFAX, VA",91141157.87,vLocation
Environmental Protection Agency,"FENTON, MO",40601618.09,vLocation
Environmental Protection Agency,"MCLEAN, VA",33750135.27,vLocation
Environmental Protection Agency,"OAK RIDGE, TN",38241355.67,vLocation
Equal Employment Opportunity Commission,"BOSTON, MA",1427200,vLocation
Equal Employment Opportunity Commission,"BRONX, NY",2637300,vLocation
Equal Employment Opportunity Commission,"CHICAGO, IL",1585600,vLocation
Equal Employment Opportunity Commission,"COLUMBUS, OH",1523800,vLocation
Equal Employment Opportunity Commission,"ELK GROVE, CA",2348100,vLocation
Executive Office of the President,"BETHESDA, MD",7777665.1,vLocation
Executive Office of the President,"CARMEL, IN",9691552.01,vLocation
Executive Office of the President,"OAK RIDGE, TN",26672337.31,vLocation
Executive Office of the President,"RESTON, VA",18665965.69,vLocation
Executive Office of the President,"WASHINGTON, DC",11313662.38,vLocation
Federal Communications Commission,"BETHESDA, MD",20236871.14,vLocation
Federal Communications Commission,"HERNDON, VA",163e4,vLocation
Federal Communications Commission,"RESTON, VA",9838732.129999999,vLocation
Federal Communications Commission,"VIENNA, VA",13602606.629999999,vLocation
Federal Communications Commission,"WASHINGTON, DC",3063366,vLocation
Federal Election Commission,"ARLINGTON, VA",1740654.48,vLocation
Federal Election Commission,"FAIRFAX, VA",2624111.84,vLocation
Federal Mediation and Conciliation Service,"POTOMAC, MD",1000675.2,vLocation
Federal Trade Commission,"BOSTON, MA",2e6,vLocation
Federal Trade Commission,"GAITHERSBURG, MD",12662500,vLocation
Federal Trade Commission,"GERMANTOWN, MD",14064800,vLocation
Federal Trade Commission,"WOODBRIDGE, VA",3364665.5999999996,vLocation
General Services Administration,"BETHESDA, MD",181939288.64,vLocation
General Services Administration,"CHICAGO, IL",92807752.53,vLocation
General Services Administration,"IRVINE, CA",151295666.96,vLocation
General Services Administration,"LANSING, MI",100984937,vLocation
General Services Administration,"MCLEAN, VA",105775011.65,vLocation
Government Accountability Office,"ARLINGTON, VA",7526786,vLocation
Government Accountability Office,"ASHBURN, VA",3055213.97,vLocation
Government Accountability Office,"CHANTILLY, VA",18894256,vLocation
Government Accountability Office,"FAIRFAX, VA",7848185,vLocation
Government Accountability Office,"UPPER MARLBORO, MD",4292627.25,vLocation
Millennium Challenge Corporation,"ALEXANDRIA, VA",105e4,vLocation
Millennium Challenge Corporation,"BEAVERCREEK, OH",2035467.7,vLocation
Millennium Challenge Corporation,"NEW YORK, NY",2725773.41,vLocation
Millennium Challenge Corporation,"VIENNA, VA",2783920.14,vLocation
Millennium Challenge Corporation,"WASHINGTON, DC",11658676.9,vLocation
National Aeronautics and Space Administration,"GREENBELT, MD",503526375,vLocation
National Aeronautics and Space Administration,"HOUSTON, TX",861518548.45,vLocation
National Aeronautics and Space Administration,"HUNTSVILLE, AL",1193495578.08,vLocation
National Aeronautics and Space Administration,"LITTLETON, CO",1034182074.69,vLocation
National Aeronautics and Space Administration,"PASADENA, CA",1852276726.16,vLocation
National Archives and Records Administration,"BETHESDA, MD",10795473.370000001,vLocation
National Archives and Records Administration,"COLUMBIA, MD",13105432,vLocation
National Archives and Records Administration,"MCLEAN, VA",13152730.219999999,vLocation
National Archives and Records Administration,"RESTON, VA",12414081.55,vLocation
National Archives and Records Administration,"WASHINGTON, DC",7671084.4,vLocation
National Labor Relations Board,"ALEXANDRIA, VA",1191101.86,vLocation
National Labor Relations Board,"ARLINGTON, VA",159e4,vLocation
National Labor Relations Board,"FALLS CHURCH, VA",3112950.01,vLocation
National Labor Relations Board,"SAINT PAUL, MN",1079455.68,vLocation
National Science Foundation,"ANCHORAGE, AK",11375625,vLocation
National Science Foundation,"ARLINGTON, VA",29230748.830000002,vLocation
National Science Foundation,"CHICAGO, IL",12588867,vLocation
National Science Foundation,"ENGLEWOOD, CO",28904842,vLocation
National Science Foundation,"MCLEAN, VA",35361468.51,vLocation
National Transportation Safety Board,"ANDOVER, MA",1194693.72,vLocation
National Transportation Safety Board,"FAIRFAX, VA",1440625,vLocation
Nuclear Regulatory Commission,"FAIRFAX, VA",53743949.65,vLocation
Nuclear Regulatory Commission,"GAITHERSBURG, MD",10531145.780000001,vLocation
Nuclear Regulatory Commission,"ROCKVILLE, MD",7153750,vLocation
Nuclear Regulatory Commission,"UPTON, NY",17504827.240000002,vLocation
Nuclear Regulatory Commission,"WASHINGTON, DC",5224e3,vLocation
Office of Personnel Management,"ALEXANDRIA, VA",22912627.67,vLocation
Office of Personnel Management,"FAIRFAX, VA",35513272.89,vLocation
Office of Personnel Management,"MINNEAPOLIS, MN",22130849.18,vLocation
Office of Personnel Management,"PORTLAND, OR",7e7,vLocation
Office of Personnel Management,"WASHINGTON, DC",22214480.92,vLocation
Overseas Private Investment Corporation,"HERNDON, VA",3777600,vLocation
Overseas Private Investment Corporation,"WASHINGTON, DC",3364144,vLocation
Railroad Retirement Board,"ARLINGTON, VA",12e5,vLocation
Railroad Retirement Board,"COLUMBIA, SC",18999149.759999998,vLocation
Railroad Retirement Board,"FAIRFAX, VA",1282171.15,vLocation
Railroad Retirement Board,"MCLEAN, VA",1257656,vLocation
Securities and Exchange Commission,"ARLINGTON, VA",26689950.04,vLocation
Securities and Exchange Commission,"CHANTILLY, VA",39262710.39,vLocation
Securities and Exchange Commission,"MCLEAN, VA",23373038.34,vLocation
Securities and Exchange Commission,"RESTON, VA",28833423.47,vLocation
Securities and Exchange Commission,"TYSONS CORNER, VA",24909863.07,vLocation
Small Business Administration,"BLACKSBURG, VA",8225627.86,vLocation
Small Business Administration,"MC LEAN, VA",8816271.75,vLocation
Small Business Administration,"MCLEAN, VA",6049523.13,vLocation
Small Business Administration,"RESTON, VA",19976453.35,vLocation
Small Business Administration,"SAINT PETERSBURG, FL",4034e3,vLocation
Smithsonian Institution,"BELLEVILLE, NJ",10445465.05,vLocation
Smithsonian Institution,"CONSHOHOCKEN, PA",139e5,vLocation
Smithsonian Institution,"MILFORD, MA",12197352,vLocation
Smithsonian Institution,"ROCKVILLE, MD",13938494,vLocation
Smithsonian Institution,"WASHINGTON, DC",23922362.45,vLocation
Social Security Administration,"CENTREVILLE, VA",80489997.36,vLocation
Social Security Administration,"GAITHERSBURG, MD",100169036.69,vLocation
Social Security Administration,"HERNDON, VA",74618221.63,vLocation
Social Security Administration,"MC LEAN, VA",168062034.51,vLocation
Social Security Administration,"ROCKVILLE, MD",67616002.98,vLocation
The Judicial Branch,"ALEXANDRIA, VA",10560400.08,vLocation
The Judicial Branch,"ASHBURN, VA",9601628.120000001,vLocation
The Judicial Branch,"CHATTANOOGA, TN",90625234.98,vLocation
The Judicial Branch,"ESPANOLA, NM",63163109.86,vLocation
The Judicial Branch,"PASADENA, CA",95528407.04,vLocation
U.S. Agency for International Development,"ARLINGTON, VA",295258312.83,vLocation
U.S. Agency for International Development,"BETHESDA, MD",107051894.72,vLocation
U.S. Agency for International Development,"BOSTON, MA",101390687,vLocation
U.S. Agency for International Development,"CAMBRIDGE, MA",102988369,vLocation
U.S. Agency for International Development,"WASHINGTON, DC",690613636.52,vLocation
U.S. International Trade Commission,"ARLINGTON, VA",2245011.18,vLocation
U.S. International Trade Commission,"RESTON, VA",2680936,vLocation
U.S. International Trade Commission,"WARWICK, NY",1868895,vLocation
United States Soldiers' and Airmen's Home,"ALEXANDRIA, VA",4787500.01,vLocation
United States Soldiers' and Airmen's Home,"GULFPORT, MS",1421938.5,vLocation
United States Soldiers' and Airmen's Home,"PENSACOLA, FL",6867442.18,vLocation
